id	topic_id	thread_id	type	formula
q_51	A.8	3142655	question	\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]
q_52	A.9	3145414	question	\sum_{n=0}^N nx^n
q_53	A.9	3145414	question	\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}
q_54	A.10	3152814	title	\int_{0}^{\infty}\frac{\sin x}{x^{a}} 
q_55	A.10	3152814	question	\int_{0}^{\infty}\frac{\sin x}{x^{a}} 
q_56	A.11	3158634	question	R^3
q_57	A.11	3158634	question	u = (a,b,c)
q_58	A.11	3158634	question	v = (d,e,f)
q_59	A.11	3158634	question	u \times v = \begin{vmatrix} \hat{i} &amp; \hat{j} &amp; \hat{k} \\ a &amp; b &amp; c \\ d &amp; e &amp; f \\ \end{vmatrix} 
q_60	A.11	3158634	question	R^2
q_61	A.11	3158634	question	R^3
q_62	A.11	3158634	question	u = (a,b)
q_63	A.11	3158634	question	v = (d,e)
q_64	A.11	3158634	question	R^2
q_65	A.11	3158634	question	R^3
q_66	A.11	3158634	question	\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )
q_67	A.11	3158634	question	R^2
q_68	A.11	3158634	question	 D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| 
q_69	A.11	3158634	question	R^3
q_70	A.11	3158634	question	R^2
q_71	A.11	3158634	question	 \iint_{V} f(x,y) dx\ dy = \iint_{Q} f(\Phi(u,v) \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| 
q_72	A.11	3158634	question	 \Phi(u,v)=(2u \cos v,\ \ u \sin v) 
q_73	A.12	3159517	question	(1+i\sqrt{3})^{1/2}
q_74	A.13	3169607	title	\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?
q_75	A.13	3169607	question	\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?
q_76	A.13	3169607	question	bf(b)-af(a)
q_77	A.14	3176147	question	y=xy'+ \frac{1}{2}(y')^{2}
q_78	A.14	3176147	question	\frac{1}{2}y'(2x+y')=y
q_79	A.14	3176147	question	x^2+y=t
q_80	A.14	3176147	question	t'=2x+y'\\(t'-2x)t'=2t-2x^2
q_81	A.15	3188645	title	\sum_{i=1}^n ix^{i-1}
q_82	A.15	3188645	question	1 + 2x + 3x^2 + 4x^3 + 5x^4 + ... + nx^{n-1}+... 
q_83	A.15	3188645	question	x \ne 1, |x| &lt; 1
q_84	A.15	3188645	question	S_n
q_85	A.15	3188645	question	S_2 = 1 + x + x^2 + x^3 + x^4 + ...
q_86	A.15	3188645	question	\frac{d(S_2)}{dx} = S_1
q_87	A.15	3188645	question	|x| &lt; 1
q_88	A.15	3188645	question	S_2
q_89	A.15	3188645	question	\frac{1-x^n}{1-x} = \frac{1}{1-x}
q_90	A.15	3188645	question	S_1 = \frac{d(S_2)}{dx} = \frac{d(\frac{1}{1-x})}{dx} = \frac{1}{(1-x)^2}
q_91	A.16	3200398	title	 \int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}dx
q_92	A.16	3200398	question	\int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}\,dx
q_93	A.16	3200398	question	I(a,b)=\int_0^1\frac{\ln(1-ax)\ln(1+bx)}{1+x}\,dx
q_94	A.16	3200398	question	\frac{d^2 I(a,b)}{dadb}
q_95	A.17	3206132	title	\int _{x=0}^{\infty} \frac{\sin(x)}{x}
q_96	A.17	3206132	title	\frac{e^{iz}}{z}
q_97	A.17	3206132	question	\int _{x=0}^{\infty} \frac{\sin(x)}{x}
q_98	A.17	3206132	question	f(z) = \frac{e^{iz}}{z}
q_99	A.17	3206132	question	\Gamma = \gamma _1 + \gamma _R + \gamma _2 + \gamma _{\epsilon}
q_100	A.17	3206132	question	\gamma_1 (t) = t, t \in [i\epsilon, iR]
q_101	A.17	3206132	question	\gamma_R (t) = Re^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]
q_102	A.17	3206132	question	\gamma_2 (t) = t, t \in [-iR, -i\epsilon]
q_103	A.17	3206132	question	\gamma_{\epsilon} (t) = \epsilon e^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]
q_104	A.17	3206132	question	\frac{\sin(x)}{x}
q_105	A.17	3206132	question	\int_{\gamma _{\epsilon}} f = -i\pi
q_106	A.17	3206132	question	\epsilon \to 0
q_107	A.17	3206132	question	\int_{\gamma _R} f = 0
q_108	A.17	3206132	question	R \to \infty
q_109	A.18	3208619	title	\lim_{n \rightarrow \infty } \frac {[(n+1)(n+2)\cdots(n+n)]^{1/n}}{n}
q_110	A.18	3208619	question	\lim_{n \rightarrow \infty~} \dfrac {[(n+1)(n+2)\cdots(n+n)]^{\dfrac {1}{n}}}{n}
q_111	A.18	3208619	question	\log{2}+n\log\cfrac{n}{n+1}
q_112	A.18	3208619	question	\frac{2}{e}
q_113	A.18	3208619	question	\frac{4}{e}
q_114	A.18	3208619	question	\lim_{n \to \infty} \frac{-n\log n + \sum\limits_{k=1}^{n} \log \left(k+n\right)}{n} \\= \lim_{n \to \infty} \left(-(n+1)\log (n+1) + \sum\limits_{k=1}^{n+1} \log \left(k+n\right)\right) - \left(-n\log n + \sum\limits_{k=1}^{n} \log \left(k+n\right)\right) \\ = \lim_{n \to \infty} \log \frac{2n+1}{n+1} - n\log \left(1+\frac{1}{n}\right) = \log 2 - 1
q_115	A.18	3208619	question	2/e
q_116	A.19	3213405	title	 p^4-1
q_117	A.19	3213405	question	p^4-1
q_118	A.19	3213405	question	7^4 - 1
q_119	A.19	3213405	question	2^4* 3 *5*2
q_120	A.19	3213405	question	11^4 - 1
q_121	A.19	3213405	question	2^4 *3 * 5*61
q_122	A.19	3213405	question	2^4*3*5
q_123	A.19	3213405	question	p^4 - 1
q_124	A.19	3213405	question	(p^2+1)(p-1)(p+1)
q_125	A.19	3213405	question	2^4
q_126	A.19	3213405	question	16n + x
q_127	A.20	3214309	title	n \in \Bbb N \setminus \{41\}
q_128	A.20	3214309	title	\phi(n)=40
q_129	A.20	3214309	question	n \in \Bbb N
q_130	A.20	3214309	question	\phi(n) = 40
q_131	A.20	3214309	question	\phi
q_132	A.20	3214309	question	n=41
q_133	A.20	3214309	question	n's
q_134	A.21	3214535	title	9^{9^{9^{…{^9}}}}
q_135	A.21	3214535	question	9^{9^{9^{…{^9}}}}
q_136	A.21	3214535	question	9^{9^{9^{…{^9}}}} ≡ x (\text{mod } 100)
q_137	A.21	3214535	question	0 ≤ x ≤ 100
q_138	A.21	3214535	question	9^{9^{9^{…{^9}}}} \text{ (nine 9s) }= 9^a
q_139	A.21	3214535	question	9^a (\text{mod } 100)
q_140	A.21	3214535	question	a (\text{mod } \phi(100))
q_141	A.21	3214535	question	\phi(100)= 40
q_142	A.21	3214535	question	a = b (\text{mod } 40)
q_143	A.21	3214535	question	9^{9^{9^{…{^9}}}} \text{ (eight 9s) }= 9^b
q_144	A.21	3214535	question	9^b (\text{mod } 40)
q_145	A.21	3214535	question	b (\text{mod } \phi(40))
q_146	A.21	3214535	question	\phi(40)= 16
q_147	A.21	3214535	question	b = c ( \text{mod }16)
q_148	A.21	3214535	question	9^{9^{9^{…{^9}}}}\text{ (seven 9s) }= 9^c 
q_149	A.21	3214535	question	9^c (mod 16)
q_150	A.21	3214535	question	c (\text{mod } phi(16))
q_151	A.21	3214535	question	\phi(16)= 8 
q_152	A.21	3214535	question	c (\text{mod } 8)
q_153	A.21	3214535	question	9 = 1 (\text{mod } 8)
q_154	A.21	3214535	question	c = 1 (\text{mod } 8)
q_155	A.22	3221158	title	d, d+1, d+2... = N
q_156	A.22	3221158	title	N
q_157	A.22	3221158	question	d, d+1, d+2...
q_158	A.22	3221158	question	N
q_159	A.22	3221158	question	N
q_160	A.22	3221158	question	d
q_161	A.22	3221158	question	N=30
q_162	A.22	3221158	question	Ans=3
q_163	A.22	3221158	question	d_1=4; d_2=6; d_3=8
q_164	A.22	3221158	question	d_1: 4 + 5 + 6 + 7 + 8 = 30
q_165	A.22	3221158	question	(\sum (d+n) - \sum(d-1))
q_166	A.23	3222198	question	2^7 \cdot 3^8 \cdot 5^2 \cdot 7^{11}
q_167	A.23	3222198	question	2^3 \cdot 3^4 \cdot 5
q_168	A.23	3222198	question	x
q_169	A.23	3222198	question	\cdot x = 2^3  \cdot 3^4 \cdot 5x
q_170	A.23	3222198	question	x
q_171	A.24	3226443	title	\sqrt{2i-1}?
q_172	A.24	3226443	question	\sqrt{2i-1}?
q_173	A.24	3226443	question	2i-1=(a+bi)^2
q_174	A.24	3226443	question	a^2+2abi-b^2
q_175	A.24	3226443	question	a^2-b^2=-1
q_176	A.24	3226443	question	2ab=2
q_177	A.24	3226443	question	a^2=b^{-2}
q_178	A.24	3226443	question	b^{-2}-b^2=-1
q_179	A.24	3226443	question	-b^{4}+1=-1
q_180	A.24	3226443	question	b^4=2
q_181	A.24	3226443	question	b=\sqrt[4]{2}
q_182	A.24	3226443	question	\sqrt{2i-1}
q_183	A.25	3227177	title	P(x^2+1)=(P(x))^2+1
q_184	A.25	3227177	question	P(0)
q_185	A.25	3227177	question	P(x^2+1)=(P(x))^2+1
q_186	A.25	3227177	question	P(x)
q_187	A.25	3227177	question	P(0)=0
q_188	A.25	3227177	question	P(1)=1
q_189	A.25	3227177	question	P(2)=2
q_190	A.25	3227177	question	P(5)=5
q_191	A.25	3227177	question	P(26)=26
q_192	A.25	3227177	question	P(677)=677
q_193	A.25	3227177	question	P(x)=x
q_194	A.25	3227177	question	y=P(x)
q_195	A.25	3227177	question	y=x
q_196	A.25	3227177	question	P(0)=2
q_197	A.25	3227177	question	P(x)=(x^2+1)^2+1
q_198	A.25	3227177	question	P(0)=3
q_199	A.25	3227177	question	\lim_{x→∞}\log_xP(x)
q_200	A.25	3227177	question	P(x)
q_201	A.25	3227177	question	P(0)
q_202	A.25	3227177	question	P(x)
q_203	A.26	3229015	question	\int_0^\infty\frac{\sin x}{x}dx.
q_204	A.26	3229015	question	\int_0^x\frac{sin x}{x}dx
q_205	A.26	3229015	question	x-\frac{x^3}{3 \times 3!}+\frac{x^5}{5\times5!}-\frac{x^7}{7 \times 7!}+\cdots = \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!} 
q_206	A.26	3229015	question	\int_0^\infty\frac{\sin x}{x}dx=\lim_{x\to \infty} \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!}
q_207	A.27	3229839	title	e^{3i \pi /2}
q_208	A.27	3229839	question	e^{\pi i}=-1
q_209	A.27	3229839	question	e^{3\pi i/2}
q_210	A.27	3229839	question	(e^{\pi i})^{3/2}
q_211	A.27	3229839	question	(\sqrt{-1})^3=i^3=-i
q_212	A.27	3229839	question	\sqrt{(-1)^3}=\sqrt{-1}=i
q_213	A.28	3230730	title	\sin(18^\circ)=\frac{a + \sqrt{b}}{c}
q_214	A.28	3230730	title	a+b+c
q_215	A.28	3230730	question	\sin(18)=\frac{a + \sqrt{b}}{c}
q_216	A.28	3230730	question	a+b+c
q_217	A.28	3230730	question	 
q_218	A.28	3230730	question	\sin(18)
q_219	A.28	3230730	question	x
q_220	A.28	3230730	question	18
q_221	A.28	3230730	question	y
q_222	A.28	3230730	question	z
q_223	A.28	3230730	question	\frac{x}{z}
q_224	A.28	3230730	question	x = a + \sqrt{b}, z = c
q_225	A.28	3230730	question	y
q_226	A.28	3230730	question	 y = \sqrt{c^{2}- (a + \sqrt{b})^{2}} 
q_227	A.28	3230730	question	 \cos(18) = \frac{y}{z} = \frac{\sqrt{c^{2}- (a + \sqrt{b})^{2}}}{c}
q_228	A.28	3230730	question	b = (c \sin(18) - a)^{2} = c^{2} \sin^{2}(18) - 2ac \sin(18) + a^{2}
q_229	A.28	3230730	question	 \sin(18) = \frac{-1 + \sqrt{5}}{4} 
q_230	A.28	3230730	question	A,B,C
q_231	A.28	3230730	question	 A \sin(18)^{2} + B \sin(18) + C = 0 
q_232	A.28	3230730	question	\sin(18)
q_233	A.28	3230730	question	Ax^{2} + Bx + C
q_234	A.28	3230730	question	a = -B, b = B^{2} - 4AC, c = 2A
q_235	A.28	3230730	question	sin(18)=(-1+\sqrt{5})/4
q_236	A.29	3239787	question	3+2i
q_237	A.29	3239787	question	-4i
q_238	A.29	3239787	question	i=\sqrt{-1}
q_239	A.29	3239787	question	\frac{5i}{\infty}=0
q_240	A.29	3239787	question	\frac{5}{\infty}\cdot \frac{\sqrt{-1}}{\infty} = 0\cdot 0 = 0,
q_241	A.29	3239787	question	\frac{5x}{\infty} = 0
q_242	A.29	3239787	question	\frac{5}{\infty}\cdot \frac{x}{\infty} = 0\cdot 0 = 0.
q_243	A.30	3161841	title	a^3+b^3+c^3-3abc
q_244	A.30	3161841	question	a=\sum_{n=0}^\infty\frac{x^{3n}}{(3n)!}\\b=\sum_{n=1}^\infty\frac{x^{3n-2}}{(3n-2)!}\\c=\sum_{n=1}^\infty\frac{x^{3n-1}}{(3n-1)!}
q_245	A.30	3161841	question	a^3+b^3+c^3-3abc
q_246	A.30	3161841	question	(a)\ 1
q_247	A.30	3161841	question	(b)\ 0
q_248	A.30	3161841	question	(c)-1
q_249	A.30	3161841	question	(d)-2
q_250	A.30	3161841	question	a,b
q_251	A.30	3161841	question	c
q_252	A.30	3161841	question	e^x
q_262	A.32	3103759	question	Empty(x) \iff \not \exists y (y \in x) 
q_263	A.32	3103759	question	Empty(x) \iff \not \exists y (y \in x)
q_264	A.33	3170416	question	f(t,x)
q_265	A.33	3170416	question	f
q_266	A.33	3170416	question	\frac{\partial^3 f}{\partial t^3}
q_267	A.33	3170416	question	\frac{\partial^3 f}{\partial x^3}
q_268	A.34	3194414	question	\begin{align*} a \uparrow b &amp; = a^b \\ a \uparrow^n b &amp; = \underbrace{a \uparrow^{n - 1} (a \uparrow^{n - 1} (\dots(a \uparrow^{n - 1} a) \dots ))}_{b\text{ copies of } a} \end{align*}
q_269	A.34	3194414	question	a,b &gt; 0
q_270	A.34	3194414	question	a \uparrow b
q_271	A.34	3194414	question	\begin{align*} a \;b &amp; = a \cdot b \\ a \downarrow b &amp; = a + b \\ a \downarrow \downarrow b &amp; = \text{see below} \end{align*} \\ \vdots
q_272	A.34	3194414	question	a \downarrow \downarrow \downarrow b
q_273	A.34	3194414	question	a \; b
q_274	A.34	3194414	question	a \downarrow^n b
q_275	A.34	3194414	question	n \geq 3
q_276	A.34	3194414	question	a \downarrow \downarrow b = a + 1
q_277	A.34	3194414	question	b + 1
q_278	A.34	3194414	question	a \uparrow^n b
q_279	A.34	3194414	question	n \leq 0
q_280	A.34	3194414	question	a \downarrow \downarrow b = b + 1
q_281	A.34	3194414	question	a \downarrow b = a + b - 1
q_282	A.34	3194414	question	4 \downarrow 3 = 4 \downarrow \downarrow (4 \downarrow \downarrow 4) = 4 \downarrow \downarrow (4 + 1) = (4 + 1) + 1 = 6 = 4 + 3 - 1
q_283	A.34	3194414	question	\begin{align*} a \downarrow \downarrow b = \begin{cases}b + 1 &amp; \text{if } a &lt; b \\ b + 2 &amp; \text{if } a = b \end{cases}\end{align*}.
q_284	A.34	3194414	question	a &gt; b
q_285	A.34	3194414	question	a \downarrow b
q_286	A.34	3194414	question	a \downarrow \downarrow \downarrow b
q_287	A.34	3194414	question	a &gt; b
q_288	A.34	3194414	question	a \downarrow \downarrow b = b + 1 + \left\lfloor \frac{a}{b} \right\rfloor,
q_289	A.34	3194414	question	a \downarrow \downarrow \downarrow b
q_290	A.35	3196128	question	\int e^{x^2} dx
q_291	A.35	3196128	question	\int e^{2x} dx
q_292	A.36	3197023	question	\lnot P
q_293	A.36	3197023	question	true
q_294	A.36	3197023	question	\lnot P  \to A_1 \to\ ... \ \to A_n \to P
q_295	A.36	3197023	question	\lnot P  \to  P \iff \lnot(\lnot P) \lor P \iff P 
q_296	A.36	3197023	question	\lnot P
q_297	A.36	3197023	question	P
q_298	A.36	3197023	question	\lnot P
q_299	A.36	3197023	question	\lnot P
q_300	A.37	3213320	title	f\circ g = g \circ f
q_301	A.37	3213320	title	f^{-1} \neq g
q_302	A.37	3213320	title	f\neq\mathrm{id}\neq g
q_303	A.37	3213320	question	f
q_304	A.37	3213320	question	g
q_305	A.37	3213320	question	f\circ g = g \circ f?
q_306	A.37	3213320	question	f(x) = 2x
q_307	A.37	3213320	question	g(x)=3x
q_308	A.37	3213320	question	f
q_309	A.37	3213320	question	g
q_310	A.37	3213320	question	f
q_311	A.37	3213320	question	f\colon\mathbb R\smallsetminus\{1\}\to\mathbb R
q_312	A.37	3213320	question	f(x) = 2x/(1-x)
q_313	A.37	3213320	question	g
q_314	A.37	3213320	question	g(x) = f^{-1}\circ g\circ f =\frac{g(\frac{2x}{1-x})}{2+g(\frac{2x}{1-x})},
q_315	A.37	3213320	question	g_0
q_316	A.37	3213320	question	g_{n+1} \mapsto f^{-1}\circ g_n\circ f
q_317	A.37	3213320	question	g_0
q_318	A.38	3221465	question	a, b
q_319	A.38	3221465	question	q, r: a = bq + r
q_320	A.38	3221465	question	Choose
q_321	A.38	3221465	question	q : qb &lt;= a
q_322	A.39	3222554	question	2018^{2019}
q_323	A.39	3222554	question	\ 2019^{2018}\ 
q_324	A.39	3222554	question	2019\log(2018)\ 
q_325	A.39	3222554	question	\ 2018 \log(2019)
q_326	A.39	3222554	question	\log 2019\gt \log 2018
q_327	A.39	3222554	question	2019^{2018}
q_328	A.40	3226910	question	a_1x_1+a_2x_2+a_3x_3+...+a_nx_n=
q_329	A.40	3226910	question	"a(x)y+b(x)y'+c(x)y""+d(x)y'''+...+q(x)=0"
q_330	A.40	3226910	question	f(x+y)=f(x)+f(y)
q_331	A.40	3226910	question	f(cx)=cf(x)
q_332	A.40	3226910	question	f
q_333	A.41	3241161	question	m
q_334	A.41	3241161	question	n
q_335	A.41	3241161	question	n \leq m
q_336	A.41	3241161	question	\sum_{r=1}^n (-1)^{(n-r)} {n \choose r}(r)^m 
q_337	A.42	3244132	question	x^2 + 1 = 0
q_338	A.42	3244132	question	\sqrt{-1}
q_339	A.43	3058291	title	\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2
q_340	A.43	3058291	question	\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2
q_341	A.43	3058291	question	S=\sum_{n\geq1}\frac1{n^2+1}
q_342	A.43	3058291	question	e^x=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos nx-n\sin nx)
q_343	A.43	3058291	question	x=\pi
q_344	A.43	3058291	question	e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos n\pi-n\sin n\pi)
q_345	A.43	3058291	question	e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}((-1)^n-n\cdot0)
q_346	A.43	3058291	question	e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi S
q_347	A.43	3058291	question	S=\frac{\pi e^\pi}{2\sinh\pi}-\frac12
q_348	A.44	3059606	title	A,B \in \mathscr{M}_{2\times2}(\mathbb{Q}) 
q_349	A.44	3059606	title	AB
q_350	A.44	3059606	question	G
q_351	A.44	3059606	question	 ( \mathscr{M}_{2\times2}(\mathbb{Q}) , \times ) 
q_352	A.44	3059606	question	 A = \left ( \begin{matrix}  0 &amp; -1 \\   1 &amp; 0  \end{matrix} \right ) 
q_353	A.44	3059606	question	A
q_354	A.44	3059606	question	4
q_355	A.44	3059606	question	 B = \left ( \begin{matrix}  0 &amp; 1 \\   -1 &amp; -1  \end{matrix} \right ) 
q_356	A.44	3059606	question	B
q_357	A.44	3059606	question	3
q_358	A.44	3059606	question	AB
q_359	A.44	3059606	question	G
q_360	A.45	3060385	title	\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)
q_361	A.45	3060385	title	\mathbb{R}
q_362	A.45	3060385	question	\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)
q_363	A.45	3060385	question	\mathbb{R}
q_364	A.45	3060385	question	0
q_365	A.45	3060385	question	 W \not = 0
q_366	A.45	3060385	question	\begin{vmatrix} (1)\sin(x) &amp; (1)\sin(2x) &amp; (1)\sin(3x) &amp;  ... &amp;   (1)\sin(nx) \\ (1)\cos(x) &amp; (2)\cos(2x) &amp; (3)\cos(3x) &amp;  ... &amp;   (n)\cos(nx) \\  -(1)^2\sin(x) &amp; -(2)^2\sin(2x) &amp; -(3)^2\sin(3x) &amp;  ... &amp;   -(n)^2\sin(nx) \\ -(1)^3\cos(x) &amp; -(2)^3\cos(2x) &amp; -(3)^3\cos(3x) &amp;  ... &amp;   -(n)^3\cos(nx) \\ \end{vmatrix}
q_367	A.45	3060385	question	W\not =0
q_368	A.46	3073455	title	f
q_369	A.46	3073455	title	[0,1]
q_370	A.46	3073455	title	\int x^k f(x) dx=0
q_371	A.46	3073455	title	f=0 \text{ a.e.}
q_372	A.46	3073455	question	f
q_373	A.46	3073455	question	[0,1]
q_374	A.46	3073455	question	\int_0^1 x^k f(x)\, dx=0
q_375	A.46	3073455	question	k=\{0,1,2,3,.. .\}
q_376	A.46	3073455	question	f=0
q_377	A.46	3073455	question	\int_0^1 f^2 (x) \,dx=0
q_378	A.46	3073455	question	\epsilon \gt 0
q_379	A.46	3073455	question	\int_0^1 f^2 (x) \,dx= \int_0^1 (f(x)-\sum_{n=0}^N a_n x^n)f(x) ,dx+\int_0^1 \sum_{n=0}^N f(x) a_n x^n\,dx \le \epsilon M
q_380	A.46	3073455	question	M=\sup_{x \in [0,1]}|f(x)|
q_381	A.46	3073455	question	f
q_382	A.46	3073455	question	f
q_383	A.46	3073455	question	f
q_384	A.46	3073455	question	[0,1]
q_385	A.46	3073455	question	\int_0^1 x^k f(x)\ dx=0
q_386	A.46	3073455	question	k=\{0,1,2,3,.. .\}
q_387	A.46	3073455	question	f=0
q_388	A.46	3073455	question	0
q_389	A.46	3073455	question	f
q_390	A.46	3073455	question	[0,1]
q_391	A.46	3073455	question	\int_0^1 x^k f(x)\ dx=0
q_392	A.46	3073455	question	k=\{0,1,2,3,.. .\}
q_393	A.46	3073455	question	f=0
q_394	A.46	3073455	question	0
q_395	A.46	3073455	question	f=0 \text{  a.e.}
q_396	A.46	3073455	question	f
q_397	A.46	3073455	question	0
q_398	A.46	3073455	question	\int_0^1 f(x) \cos(2 \pi nx) \,dx \le \int_0^1 |f(x)||\cos(2 \pi nx)-\sum_{n=0}^{N}a_n x^n| \le \epsilon||f||_{L^1}
q_399	A.47	3082635	title	p
q_400	A.47	3082635	title	0 < r < p-1
q_401	A.47	3082635	title	q
q_402	A.47	3082635	title	rq \equiv 1 \bmod p
q_403	A.47	3082635	question	p
q_404	A.47	3082635	question	0 &lt; r &lt; p-1
q_405	A.47	3082635	question	q
q_406	A.47	3082635	question	rq \equiv 1 \bmod p
q_407	A.47	3082635	question	rq - 1 = kp
q_408	A.47	3082635	question	k
q_409	A.47	3082635	question	qr - kp = 1
q_410	A.47	3082635	question	r
q_411	A.47	3082635	question	\sum_{r=1}^{p-2} r = \frac{(p-2)(p-1)}{2} = p\frac{p - 3}{2} + 1 \equiv 1 \bmod p
q_412	A.47	3082635	question	r
q_413	A.47	3082635	question	p
q_414	A.47	3082635	question	(p-1)! \equiv -1 \bmod p
q_415	A.47	3082635	question	r
q_416	A.47	3082635	question	2
q_417	A.47	3082635	question	(p-1)! + 2 \equiv 1 \bmod p
q_418	A.47	3082635	question	(p+1)
q_419	A.47	3082635	question	(p+1)(p-1)! = -(p+1) \bmod p
q_420	A.47	3082635	question	(p+1)(p-1)! = 1 \bmod p
q_421	A.47	3082635	question	r
q_422	A.47	3082635	question	q
q_423	A.48	3090622	title	x,y \geq 0
q_424	A.48	3090622	title	(x+y)^k \geq x^k + y^k
q_425	A.48	3090622	title	k \geq 1
q_426	A.48	3090622	question	x,y \geq 0
q_427	A.48	3090622	question	(x+y)^k \geq x^k + y^k
q_428	A.48	3090622	question	k \in \mathbb{R_{\geq 1}}
q_429	A.48	3090622	question	x \leq x+ y
q_430	A.48	3090622	question	x^k \leq (x + y)^k
q_431	A.48	3090622	question	k \geq 1
q_432	A.48	3090622	question	y^k \leq (x+y)^k
